Deployment,Camera ID,Height_cm
105,NRC 021,62
303,NRC 081,49
502,NRC 088,52
304,NRC 089,57
102,NRC 108,41
205,NRC 110,33
305,NRC 117,47
505,NRC 135,46
403,NRC 140,45
104,NRC 142,57
101,NRC 186,68
405,SCBI 05,57
406,SCBI 06,57
206,SCBI 11,48
103,SCBI 14,65
504,SCBI 29,39
404,SCBI 65,53
501,SCBI 72,56
401,SCBI 74,65
203,SIGMU 01,46
204,SIGMU 03,60
402,SIGMU 07,43
503,SIGMU 10,57
201,SIGMU 13,51
301,SIGMU 14,54
302,SIGMU 15,53
202,SIGMU 16,58
